,term,cumulative_delta,p_cumdelta,lag_1,p_lagone,lag_2,p_lagtwo,cumulative,p_delta
128,rules.of.origin_Fungible.Goods.And.Materials_cumulative,0.034087715,0.251773373,-0.028750322,0.697792084,-0.133869486,0.076057842,-0.118030761,0.066438077
129,rules.of.origin_Goods.In.Transport.Or.Storage_cumulative,-0.07147246,0.423474683,-0.164883188,0.096874488,-0.166050613,0.069998495,-0.123167733,0.094094911
130,rules.of.origin_Identical.And.Interchangeable.Materials_cumulative,-0.021220023,0.681728497,-0.092786892,0.545679367,-0.313984087,0.022631138,0.051056762,0.313433469
131,rules.of.origin_Indirect.Materials_cumulative,0.088883274,0.285762587,-0.510231377,1.12E-09,-0.322735639,0.001557682,-0.487416718,3.87E-16
132,rules.of.origin_Insufficient.Operations_cumulative,0.07748261,0.005874805,0.099901605,0.598214194,0.067596111,0.755465523,-0.097304356,0.479860625
133,rules.of.origin_Interpretation.And.Application_cumulative,-0.012311312,0.892024205,1.805392058,1.28E-10,1.408470541,0.001488714,2.069096836,5.90E-17
134,rules.of.origin_Minimal.Operations.Or.Processes_cumulative,0.097514,0.097319601,-0.221312407,0.094142965,-0.234604007,0.145580511,-0.240305712,1.25E-05
135,rules.of.origin_Net.Cost_cumulative,0.116927308,0.167752755,0.319238802,0.032056933,0.121813635,0.520858874,0.437866249,4.68E-06
136,rules.of.origin_Neutral.Elements_cumulative,0.014497747,0.85392288,-0.230081225,0.00362408,-0.282740432,0.000789623,-0.277210333,3.81E-06
137,rules.of.origin_Non.Qualifying.Operations_cumulative,0.554076503,1.10E-20,-0.129955917,0.148953901,-0.143472629,0.30376547,-0.267927648,8.21E-05
138,rules.of.origin_Obligations.Regarding.Exportations_cumulative,0.001425,0.936529817,-0.05957634,0.033707161,-0.054735814,0.019565985,-0.041997311,0.023468796
139,rules.of.origin_Operational.Procedures_cumulative,-0.242905358,8.54E-07,0.679077957,6.67E-21,0.556404649,1.03E-08,0.623715377,1.08E-27
140,rules.of.origin_Origin.Criteria_cumulative,0.012949393,0.201070098,0.064650369,7.38E-08,0.046076757,0.000524278,0.042070869,2.01E-05
